Time,CH1,CH2
0.002020,7.9446,0.0139
0.002030,9.6650,-0.0028
0.002040,2.4657,-0.0529
0.002050,1.6807,-0.0863
0.002060,0.7954,-0.0863
0.002070,1.1461,-0.0529
0.002080,0.3611,-0.0696
0.002090,0.7118,-0.0529
0.002100,0.5615,-0.0529
0.002110,0.3945,-0.0529
0.002120,0.8288,-0.0529
0.002130,0.4446,-0.0529
0.002140,0.7453,-0.0529
0.002150,0.6784,-0.0529
0.002160,0.5615,-0.0529
0.002170,0.9624,-0.0195
0.002180,0.7453,-0.0529
0.002190,1.0125,-0.0195
0.002200,0.9457,-0.0362
0.002210,0.7118,-0.0195
0.002220,1.1628,-0.0529
0.002230,0.4112,-0.0362
0.002240,0.5615,-0.0529
0.002250,0.6784,-0.0195
0.002260,0.8956,-0.0362
0.002270,1.2631,-0.0195
0.002280,0.5448,-0.0529
0.002290,0.6450,-0.0195
0.002300,0.7286,-0.0362
0.002310,0.1606,-0.0362
0.002320,0.6617,-0.0362
0.002330,0.2441,-0.0362
0.002340,0.3277,-0.0195
0.002350,0.5949,-0.0529
0.002360,0.1105,-0.0195
0.002370,0.6450,-0.0362
0.002380,0.2775,-0.0362
0.002390,0.2943,-0.0195
0.002400,0.6116,-0.0529
0.002410,0.1105,-0.0195
0.002420,0.6116,-0.0362
0.002430,0.3110,-0.0362
0.002440,0.2608,-0.0195
0.002450,0.6283,-0.0529
0.002460,0.1439,-0.0195
0.002470,0.5949,-0.0362
0.002480,0.3277,-0.0362
0.002490,0.2274,-0.0195
0.002500,0.6450,-0.0529
0.002510,0.1439,-0.0195
0.002520,0.5448,-0.0362
0.002530,0.3945,-0.0362
0.002540,0.2107,-0.0362
0.002550,0.6617,-0.0362
0.002560,0.1606,-0.0362
0.002570,0.4947,-0.0362
0.002580,0.4279,-0.0362
0.002590,0.1773,-0.0195
0.002600,0.6784,-0.0529
0.002610,0.1773,-0.0195
0.002620,0.4613,-0.0195
0.002630,0.4613,-0.0529
0.002640,0.1606,-0.0362
0.002650,0.6784,-0.0529
0.002660,0.2107,-0.0195
0.002670,0.4112,-0.0195
0.002680,0.5114,-0.0529
0.002690,0.1606,-0.0362
0.002700,0.6617,-0.0529
0.002710,0.2107,-0.0195
0.002720,0.3945,-0.0195
0.002730,0.5281,-0.0529
0.002740,0.1439,-0.0362
0.002750,0.6617,-0.0362
